City_ID,City,Country,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed,Current Weather Description
195,Diego De Almagro,CL,-26.3667,-70.05,80.65,22,0,16.28,clear sky
196,Vallenar,CL,-28.5708,-70.7581,82.96,28,0,11.86,clear sky
197,Moron,AR,-34.6534,-58.6198,72.01,57,7,9.28,clear sky
198,Andros Town,BS,24.7,-77.7667,82.36,70,11,11.39,few clouds
199,Lamu,KE,-2.2717,40.902,79.02,86,90,10.92,overcast clouds
200,Rosetta,EG,31.4044,30.4164,56.01,79,0,12.68,clear sky
201,Faya,SA,18.3851,42.4509,55.92,65,2,6.67,clear sky
202,Tutoia,BR,-2.7619,-42.2744,85.98,75,19,11.7,few clouds
203,Berlevag,NO,70.8578,29.0864,24.8,79,66,21.68,broken clouds
204,Gulu,UG,2.7746,32.299,78.89,36,74,3.0,broken clouds
205,Manta,EC,-0.95,-80.7333,80.38,69,100,1.14,overcast clouds
206,Storslett,NO,69.7678,21.0247,14.54,81,22,11.45,few clouds
207,Sokolo,ML,14.7328,-6.1219,76.96,12,0,8.77,clear sky
208,Darnah,LY,32.767,22.6367,55.96,61,0,8.32,clear sky
209,Belmonte,BR,-15.8631,-38.8828,82.9,66,48,7.43,scattered clouds
210,Henties Bay,NA,-22.116,14.2845,70.86,81,89,7.25,overcast clouds
211,Sovetskiy,RU,61.3614,63.5842,1.18,98,100,5.55,overcast clouds
212,Aquiraz,BR,-3.9014,-38.3911,84.29,75,56,8.57,broken clouds
213,Port Hawkesbury,CA,45.6169,-61.3485,49.89,85,63,8.99,broken clouds
214,Ovalle,CL,-30.5983,-71.2003,82.38,35,0,12.12,clear sky
215,Dalvik,IS,65.9702,-18.5286,15.04,90,95,7.56,overcast clouds
216,Malanje,AO,-9.5402,16.341,68.09,81,100,3.62,overcast clouds
217,Villablino,ES,42.9393,-6.3194,47.71,91,10,2.62,clear sky
218,Hazro,PK,33.9091,72.4921,55.18,41,19,3.2,few clouds
219,Botwood,CA,49.1499,-55.3482,42.91,99,100,18.03,overcast clouds
220,Ayolas,PY,-27.4,-56.9,83.79,51,74,13.38,broken clouds
221,Kutum,SD,14.2,24.6667,62.64,14,43,7.85,scattered clouds
222,Matara,LK,5.9485,80.5353,75.15,91,100,3.11,overcast clouds
223,Duma,CN,34.7653,108.135,30.76,79,5,2.57,clear sky
224,Dingle,PH,10.9995,122.6711,74.17,93,28,7.72,scattered clouds
225,Nova Russas,BR,-4.7067,-40.5631,80.19,63,99,3.24,light rain
226,Caravelas,BR,-17.7125,-39.2481,80.96,73,100,6.82,overcast clouds
227,Chicama,PE,-7.8447,-79.1469,70.34,58,28,11.99,scattered clouds
228,Talara,PE,-4.5772,-81.2719,83.16,54,0,11.5,clear sky
229,Luis Correia,BR,-2.8792,-41.6669,86.0,74,40,13.8,scattered clouds
230,Gat,IL,31.61,34.7642,57.4,100,0,5.08,clear sky
231,Novopistsovo,RU,57.3218,41.8531,13.98,96,79,7.65,broken clouds
232,Acajutla,SV,13.5928,-89.8275,94.8,58,4,10.25,clear sky
233,Hvolsvollur,IS,63.7533,-20.2243,10.81,83,74,6.96,broken clouds
234,Copiapo,CL,-27.3667,-70.3333,73.09,35,0,10.22,clear sky
235,Urubicha,BO,-15.3833,-62.95,76.24,97,100,5.06,overcast clouds
236,Baru,ID,-7.0525,112.3901,75.15,90,100,2.77,overcast clouds
237,Kumluca,TR,36.3703,30.2869,49.68,75,13,3.71,few clouds
238,Estancia,BR,-11.2683,-37.4383,85.48,63,36,10.6,scattered clouds
239,Dalbandin,PK,28.8947,64.4101,59.04,20,0,3.91,clear sky
240,Juba,SS,4.8517,31.5825,86.02,24,73,5.08,broken clouds
241,Vila Velha,BR,-20.3297,-40.2925,76.95,90,40,5.75,scattered clouds
242,Ghanzi,BW,-21.5667,21.7833,71.87,56,10,7.27,clear sky
243,Puerto Maldonado,PE,-12.6,-69.1833,87.13,59,100,5.37,overcast clouds
244,Sinnamary,GF,5.3833,-52.95,78.15,87,69,11.74,light rain
245,Codrington,AU,-38.2667,141.9667,69.67,49,100,11.9,overcast clouds
246,Harnosand,SE,62.6323,17.9379,32.0,90,100,8.14,overcast clouds
247,Maldonado,UY,-34.6667,-54.9167,63.79,88,100,17.11,overcast clouds
248,Jalu,LY,29.0331,21.5482,56.57,41,0,5.88,clear sky
249,San Francisco,US,37.7749,-122.4194,76.3,56,95,8.99,overcast clouds
250,Yumen,CN,40.2833,97.2,24.35,51,100,7.18,overcast clouds
251,Matagami,CA,49.7502,-77.6328,-11.99,86,100,8.5,overcast clouds
252,Saurimo,AO,-9.6608,20.3916,65.07,95,100,4.0,light rain
253,Tarsus,TR,36.9188,34.8784,48.07,79,71,2.95,broken clouds
254,Porto Nacional,BR,-10.7081,-48.4172,82.4,82,82,1.45,broken clouds
255,Sao Luis De Montes Belos,BR,-16.525,-50.3722,77.61,87,41,4.29,moderate rain
256,Manjacaze,MZ,-24.7117,33.8828,70.18,85,0,4.97,clear sky
257,Faratsiho,MG,-19.4,46.95,56.3,91,79,4.88,broken clouds
258,Paris,FR,48.8534,2.3488,41.11,73,0,8.05,clear sky
259,Raudeberg,NO,61.9875,5.1352,41.67,92,100,8.99,light rain
260,Luangwa,ZM,-15.6167,30.4167,72.16,85,100,2.37,overcast clouds
261,Jaque,PA,7.5175,-78.1703,84.22,70,22,5.93,light rain
262,Port Said,EG,31.2565,32.2841,60.48,71,0,14.5,clear sky
263,Shergarh,IN,28.65,79.35,50.58,63,0,3.58,clear sky
264,Bafia,CM,4.75,11.2333,76.96,33,29,2.57,scattered clouds
265,Nizhniy Ingash,RU,56.2,96.53,-6.3,91,5,8.52,clear sky
266,Leh,IN,34.1667,77.5833,-1.07,67,87,2.42,overcast clouds
267,Chimore,BO,-16.9833,-65.1333,72.81,99,100,2.66,overcast clouds
268,La Trinitaria,MX,16.1167,-92.05,79.18,33,16,4.76,few clouds
269,Rawson,AR,-43.3002,-65.1023,81.05,25,99,8.08,overcast clouds
270,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,87.75,60,100,4.23,overcast clouds
271,Konevo,RU,62.1215,39.3192,17.33,96,99,4.88,overcast clouds
272,Yashkino,RU,55.8736,85.4265,0.12,96,5,4.94,clear sky
273,Strezhevoy,RU,60.7333,77.5889,-5.82,96,26,10.09,scattered clouds
274,Bakchar,RU,57.0186,82.0711,-8.91,99,19,4.72,few clouds
275,Loiza,PR,18.4313,-65.8802,80.96,89,75,14.97,broken clouds
276,Sept-Iles,CA,50.2001,-66.3821,33.06,90,100,3.44,overcast clouds
277,Sibay,RU,52.7181,58.6658,8.49,97,62,5.26,broken clouds
278,Ilulissat,GL,69.2167,-51.1,15.44,93,100,19.84,snow
279,Muisne,EC,0.6,-80.0333,84.31,87,97,6.71,light rain
280,Mao,ES,39.8885,4.2658,48.76,81,0,4.61,clear sky
281,Djambala,CG,-2.5447,14.7533,72.18,80,99,4.41,overcast clouds
282,Awbari,LY,26.5921,12.7805,54.91,27,0,8.66,clear sky
